title,choice,id,parent_id,depth
Ton personnage est-il masculin ?,o,1632751,1632750,6
Ton personnage est-il méchant ? ,n,1642592,1632750,6
Ton personnage est-il un personnage de jeu vidéo ?,p,1652433,1632750,6
Ton personnage est-il un personnage de jeu vidéo ?,o,1662276,1662275,6
Ton personnage est-il un personnage de jeu vidéo ?,n,1672117,1662275,6
Ton personnage est-il un personnage de jeu vidéo ?,p,1681958,1662275,6
Ton personnage est-il dans le domaine de la musique ?,o,1691800,1691799,6
Ton personnage est-il décédé ?,n,1701641,1691799,6
Ton personnage est-il devenu connu grâce à Internet ?,p,1711482,1691799,6
Ton personnage est-il un personnage de jeu vidéo ?,o,1721324,1721323,6
Ton personnage est-il un footballeur ?,n,1731165,1721323,6
Ton personnage a-t-il la peau blanche ?,p,1741006,1721323,6
Ton personnage porte-t-il des chaussures ?,o,1750849,1750848,6
Ton personnage a-t-il un rapport avec le milieu du sport ?,n,1760690,1750848,6
Ton personnage a-t-il un rapport avec le milieu du sport ?,p,1770531,1750848,6
Ton personnage porte-t-il des chaussures ?,o,1780373,1780372,6
Ton personnage a-t-il un rapport avec le milieu du sport ?,n,1790214,1780372,6
Ton personnage a-t-il un rapport avec le milieu du sport ?,p,1800055,1780372,6
Ton personnage a-t-il la peau blanche ?,o,1809897,1809896,6
Ton personnage est-il devenu connu grâce à Internet ?,n,1819738,1809896,6
Ton personnage fait-il des combats ?,p,1829579,1809896,6
Ton personnage est-il musicien ?,o,1839423,1839422,6
Ton personnage est-il méchant ? ,n,1849264,1839422,6
Ton personnage est-il masculin ?,p,1859105,1839422,6
Ton personnage est-il anglais ?,o,1868947,1868946,6
Ton personnage est-il méchant ? ,n,1878788,1868946,6
Ton personnage a-t-il été roi ?,p,1888629,1868946,6
Ton personnage porte-t-il des chaussures ?,o,1898471,1898470,6
Ton personnage est-il acteur/actrice ?,n,1908312,1898470,6
Ton personnage est-il acteur/actrice ?,p,1918153,1898470,6
Ton personnage a-t-il la peau blanche ?,o,1927996,1927995,6
Ton personnage est-il méchant ? ,n,1937837,1927995,6
Ton personnage porte-t-il des chaussures ?,p,1947678,1927995,6
Ton personnage est-il japonais ?,o,1957520,1957519,6
Ton personnage est-il méchant ? ,n,1967361,1957519,6
Ton personnage fait-il des combats ?,p,1977202,1957519,6
Ton personnage est-il acteur/actrice ?,o,1987044,1987043,6
Ton personnage est-il décédé ?,n,1996885,1987043,6
Ton personnage est-il musicien ?,p,2006726,1987043,6
Ton personnage est-il masculin ?,o,2016569,2016568,6
Ton personnage fait-il des combats ?,n,2026410,2016568,6
Ton personnage est-il masculin ?,p,2036251,2016568,6
Ton personnage porte-t-il des chaussures ?,o,2046093,2046092,6
Ton personnage est-il anglais ?,n,2055934,2046092,6
Ton personnage est-il portugais ?,o,7,6,7
Ton personnage est-il portugais ?,n,2432,6,7
Ton personnage est-il portugais ?,p,5631,6,7
Ton personnage est-il dans le domaine de la musique ?,o,8885,8884,7
Votre personnage est-il connu comme militaire ?,n,11934,8884,7
Votre personnage est-il connu comme militaire ?,p,15067,8884,7
Ton personnage est-il policier ou détective ?,o,18198,18197,7
Ton personnage est-il dans le domaine de la musique ?,n,21478,18197,7
Ton personnage est-il policier ou détective ?,p,23987,18197,7
Ton personnage a-t-il un prénom hors du commun ?,o,27269,27268,7
Ton personnage a-t-il été roi ?,n,30549,27268,7
Ton personnage a-t-il été roi ?,p,33829,27268,7
Ton personnage a-t-il un prénom hors du commun ?,o,37110,37109,7
Ton personnage est-il dans le domaine de la musique ?,n,40390,37109,7
Ton personnage est-il dans le domaine de la musique ?,p,43589,37109,7
Ton personnage a-t-il un prénom hors du commun ?,o,46870,46869,7
Ton personnage a-t-il été roi ?,n,50150,46869,7
Ton personnage a-t-il été roi ?,p,53373,46869,7
Ton personnage est-il devenu connu grâce à Internet ?,o,56655,56654,7
Votre personnage est-il connu comme militaire ?,n,59824,56654,7
Ton personnage est-il une femme ?,p,63104,56654,7
Ton personnage a-t-il un prénom hors du commun ?,o,66385,66384,7
Ton personnage est-il dans le domaine de la musique ?,n,69665,66384,7
Ton personnage est-il dans le domaine de la musique ?,p,72864,66384,7
Ton personnage est-il portugais ?,o,76145,76144,7
Ton personnage a-t-il été roi ?,n,79395,76144,7
Ton personnage a-t-il été roi ?,p,82618,76144,7
Ton personnage a-t-il un prénom hors du commun ?,o,85901,85900,7
Ton personnage est-il blond ?,n,88701,85900,7
Ton personnage a-t-il un prénom hors du commun ?,p,91450,85900,7
Ton personnage a-t-il un prénom hors du commun ?,o,94383,94382,7
La célébrité de ton personnage est-elle en rapport avec le monde du football ?,n,95845,94382,7
Ton personnage est-il blond ?,p,99125,94382,7
Ton personnage a-t-il plus de 35 ans ?,o,102406,102405,7
Ton personnage a-t-il plus de 35 ans ?,n,105641,102405,7
Ton personnage a-t-il plus de 35 ans ?,p,108813,102405,7
Ton personnage a-t-il un prénom hors du commun ?,o,112050,112049,7
Ton personnage est-il célèbre  ?,n,115330,112049,7
Ton personnage est-il célèbre  ?,p,118574,112049,7
Ton personnage est-il un garçon ?,o,121855,121854,7
Ton personnage a-t-il plus de 35 ans ?,n,125135,121854,7
Ton personnage est-il un garçon ?,p,128415,121854,7
Ton personnage est-il dans le domaine de la musique ?,o,131696,131695,7
Ton personnage a-t-il plus de 35 ans ?,n,134925,131695,7
Ton personnage est-il un garçon ?,p,138205,131695,7
Ton personnage a-t-il un prénom hors du commun ?,o,141487,141486,7
Ton personnage est-il un footballeur ?,n,144767,141486,7
Ton personnage a-t-il un prénom hors du commun ?,p,148047,141486,7
Ton personnage a-t-il plus de 35 ans ?,o,151328,151327,7
Ton personnage est-il célèbre  ?,n,154608,151327,7
Ton personnage est-il célèbre  ?,p,157888,151327,7
Ton personnage est-il un garçon ?,o,161169,161168,7
Ton personnage est-il célèbre  ?,n,164449,161168,7
Ton personnage est-il célèbre  ?,p,167729,161168,7
Ton personnage est-il devenu connu grâce à Internet ?,o,171012,171011,7
Ton personnage est-il un écrivain ?,n,174292,171011,7
Ton personnage est-il un écrivain ?,p,177572,171011,7
Ton personnage a-t-il un prénom hors du commun ?,o,180853,180852,7
Ton personnage a-t-il plus de 50 ans ?,n,184118,180852,7
Ton personnage a-t-il plus de 50 ans ?,p,187383,180852,7
Ton personnage a-t-il plus de 35 ans ?,o,190664,190663,7
Ton personnage est-il devenu connu grâce à Internet ?,n,193944,190663,7
Ton personnage a-t-il plus de 50 ans ?,p,197224,190663,7
Ton personnage est-il célèbre  ?,o,200506,200505,7
Ton personnage a-t-il un prénom hors du commun ?,n,203786,200505,7
Ton personnage est-il un garçon ?,p,207066,200505,7
Ton personnage est-il dans le domaine de la musique ?,o,210347,210346,7
Ton personnage est-il un écrivain ?,n,213627,210346,7
Ton personnage est-il dans le domaine de la musique ?,p,216907,210346,7
Ton personnage est-il célèbre  ?,o,220188,220187,7
Ton personnage est-il célèbre  ?,n,223468,220187,7
Ton personnage est-il célèbre  ?,p,226748,220187,7
Ton personnage est-il célèbre  ?,o,230030,230029,7
Ton personnage a-t-il plus de 35 ans ?,n,233310,230029,7
Ton personnage est-il dans le domaine de la musique ?,p,236590,230029,7
Ton personnage est-il dans le domaine de la musique ?,o,239871,239870,7
Ton personnage est-il un écrivain ?,n,243151,239870,7
Ton personnage est-il dans le domaine de la musique ?,p,246431,239870,7
Ton personnage est-il un footballeur ?,o,249712,249711,7
Ton personnage est-il un footballeur ?,n,252992,249711,7
Ton personnage est-il un garçon ?,p,256272,249711,7
Ton personnage a-t-il un prénom hors du commun ?,o,259556,259555,7
Ton personnage a-t-il un prénom hors du commun ?,n,262836,259555,7
Ton personnage a-t-il un prénom hors du commun ?,p,265801,259555,7
Ton personnage a-t-il un prénom hors du commun ?,o,269010,269009,7
Ton personnage a-t-il un prénom hors du commun ?,n,272119,269009,7
Ton personnage a-t-il plus de 50 ans ?,p,273995,269009,7
Ton personnage a-t-il un prénom hors du commun ?,o,276967,276966,7
Ton personnage a-t-il plus de 50 ans ?,n,280247,276966,7
Ton personnage a-t-il plus de 50 ans ?,p,283305,276966,7
Ton personnage a-t-il un prénom hors du commun ?,o,286443,286442,7
Ton personnage est-il masculin ?,n,289228,286442,7
Ton personnage a-t-il plus de 50 ans ?,p,292454,286442,7
Ton personnage est-il anglais ?,o,295618,295617,7
Votre personnage a -t-il la peau noire ?,n,298547,295617,7
Votre personnage a -t-il la peau noire ?,p,301827,295617,7
Ton personnage est-il anglais ?,o,305108,305107,7
Votre personnage a -t-il la peau noire ?,n,308055,305107,7
