Axe_X,Axe_Y,Name,Cluster
17.444117,19.4084,Dmitri Mendeleïev (chimiste russe),Groupe 2
23.044147,-16.378605,Dobby (Personnage de Harry Potter),Groupe 1
33.680935,-26.209146,Doc brown,Groupe 1
39.167786,-22.083485,Docteur House (personnage),Groupe 1
3.594681,-12.729775,Docteur Kureha ,Groupe 3
-40.979385,13.805102,domingo,Groupe 2
1.2985723,-10.638261,Dominique Gros ,Groupe 3
-36.116447,21.682198,Dominique Strauss-Kahn (dit DSK homme politique),Groupe 2
26.814228,-37.829475,Don  quichote,Groupe 1
-0.12219356,-10.465725,Don Chinjao ,Groupe 3
1.116223,-9.84583,Don King ,Groupe 3
20.836472,-16.000017,Donald Duck,Groupe 1
-19.290272,17.797436,Donald Trump,Groupe 0
6.35117,-28.000809,Dora,Groupe 1
38.77523,-25.411999,Dora l'exploratrice (dessin animé),Groupe 1
24.284193,-22.818672,Doraemon,Groupe 1
40.598434,-22.430805,Dr Cristina Yang (perso de Grey's Anatomy),Groupe 1
2.3407211,-11.52776,Dr Gero (Dragon Ball),Groupe 3
-42.35428,14.870347,Dr Nozman(Youtuber),Groupe 2
15.995481,-12.580399,Dracaufeu (animal Pokemon),Groupe 1
32.98616,-21.900795,Dracula,Groupe 1
25.849133,-32.63478,Drago Malefo (personnage Harry Potter),Groupe 1
-12.711885,-16.397127,Dragon étoile filante ,Groupe 3
2.39063,-12.937294,Drattak ,Groupe 3
-1.3056928,-12.455636,Duchesse ,Groupe 3
-1.8797888,-10.673363,Duff ,Groupe 3
17.077623,-43.281376,Duke Nukem,Groupe 1
-29.339916,-6.7902236,Dwayne Johnson (The Rock),Groupe 2
-27.59525,-5.450018,E,Groupe 2
19.238083,-15.803775,E.T. (alien),Groupe 1
-18.139174,41.713966,Earvin Ngapeth,Groupe 2
17.721914,-27.481768,Eckko ( champion league of legends),Groupe 1
-1.8855852,30.468876,Ed Sheeran (chanteur),Groupe 2
-0.991209,19.874466,Eden Hazard ,Groupe 2
-0.9695508,19.912317,Edinson Cavani (footballer paris),Groupe 2
12.641832,-35.41443,Edward Kenway (perso jeu Assassin's Creed),Groupe 1
-21.448807,1.7736921,Edward Snowden,Groupe 0
23.501642,-8.278539,Edward Teach / Barbe Noire ,Groupe 1
39.849022,-21.196463,Elliot (série Mr.Robot),Groupe 1
-22.156702,2.7940335,Elon musk,Groupe 0
-22.093943,0.88614553,Elon Musk (Pdg Tesla & SpaceX),Groupe 2
6.7984962,-29.453373,Elsa,Groupe 1
-4.8845057,32.171627,Elton John,Groupe 2
-10.997156,9.101569,Emile Zola,Groupe 2
-27.725039,5.5334487,Emilia Clarke (acteur de Game of Thrones),Groupe 2
